dt,volume
2021-03-23T00:00:00+00:00,1120472274.5940607
2021-03-24T00:00:00+00:00,1323253737.4324973
2021-03-25T00:00:00+00:00,1107700556.3991466
2021-03-26T00:00:00+00:00,992648024.4797323
2021-03-27T00:00:00+00:00,1034165613.3473412
2021-03-28T00:00:00+00:00,948834034.8014289
2021-03-29T00:00:00+00:00,1148255786.2808006
2021-03-30T00:00:00+00:00,6669037189.75284
2021-03-31T00:00:00+00:00,1369713927.879889
2021-04-01T00:00:00+00:00,1317269322.8233633
2021-04-02T00:00:00+00:00,1229367601.4244375
2021-04-03T00:00:00+00:00,1135680311.4769728
2021-04-04T00:00:00+00:00,1007931674.6511282
2021-04-05T00:00:00+00:00,1133533506.8952928
2021-04-06T00:00:00+00:00,1154952741.2090623
2021-04-07T00:00:00+00:00,1384590634.8334801
2021-04-08T00:00:00+00:00,1065078984.6678388
2021-04-09T00:00:00+00:00,912993810.5191664
2021-04-10T00:00:00+00:00,973790075.8018231
2021-04-11T00:00:00+00:00,929994756.7344939
2021-04-12T00:00:00+00:00,1073054705.9543288
2021-04-13T00:00:00+00:00,1181810987.5000985
2021-04-14T00:00:00+00:00,1383670742.9556065
2021-04-15T00:00:00+00:00,1231312157.8329165
2021-04-16T00:00:00+00:00,1457602193.0602038
2021-04-17T00:00:00+00:00,1465735888.4740434
2021-04-18T00:00:00+00:00,1729650579.9318569
2021-04-19T00:00:00+00:00,1415089163.6260011
2021-04-20T00:00:00+00:00,1826281356.1747086
2021-04-21T00:00:00+00:00,1530834337.5895047
2021-04-22T00:00:00+00:00,1933881100.0079327
2021-04-23T00:00:00+00:00,1888254399.1433268
2021-04-24T00:00:00+00:00,1030344179.885856
2021-04-25T00:00:00+00:00,985832191.2547057
2021-04-26T00:00:00+00:00,1248345527.853282
2021-04-27T00:00:00+00:00,1247490443.003955
2021-04-28T00:00:00+00:00,1344276073.1418693
2021-04-29T00:00:00+00:00,1223035748.130037
2021-04-30T00:00:00+00:00,1197179574.8203325
2021-05-01T00:00:00+00:00,1243125318.8572485
2021-05-02T00:00:00+00:00,1730842488.0946097
2021-05-03T00:00:00+00:00,1826025656.2282581
2021-05-04T00:00:00+00:00,2041974498.4223194
2021-05-05T00:00:00+00:00,1611206237.5822432
2021-05-06T00:00:00+00:00,1343101778.1789427
2021-05-07T00:00:00+00:00,1537860571.4662862
2021-05-08T00:00:00+00:00,3314922489.5782003
2021-05-09T00:00:00+00:00,2618477218.038758
2021-05-10T00:00:00+00:00,3837328863.1082106
2021-05-11T00:00:00+00:00,2899447640.5195804
2021-05-12T00:00:00+00:00,4045820230.524514
2021-05-13T00:00:00+00:00,3660370529.378539
2021-05-14T00:00:00+00:00,2511335729.581135
2021-05-15T00:00:00+00:00,2427826863.328855
2021-05-16T00:00:00+00:00,2899244934.6672935
2021-05-17T00:00:00+00:00,3178712925.445042
2021-05-18T00:00:00+00:00,2569654144.7391124
2021-05-19T00:00:00+00:00,6260844669.964542
2021-05-20T00:00:00+00:00,3699361484.595873
2021-05-21T00:00:00+00:00,3357750189.777413
2021-05-22T00:00:00+00:00,2304511578.899467
2021-05-23T00:00:00+00:00,3802044030.2326202
2021-05-24T00:00:00+00:00,3022042698.789287
2021-05-25T00:00:00+00:00,2673691676.8207526
2021-05-26T00:00:00+00:00,2677600208.712295
2021-05-27T00:00:00+00:00,1971624113.6390474
2021-05-28T00:00:00+00:00,2364593639.148868
2021-05-29T00:00:00+00:00,2130706774.3178737
2021-05-30T00:00:00+00:00,1763941132.5744703
